date,new_cases,total_cases,new_tests,total_tests,new_deaths,total_deaths,cases_per_million,tests_per_million,deaths_per_million
2020-07-15,114,243344,28392.0,3635507.0,17,34984,4024.7542631360734,578.6130052171098,60128.96269031098
2020-07-16,162,243506,28089.0,3663596.0,13,34997,4027.4336396180415,578.8280169101073,60593.53680143445
2020-07-17,230,243736,28661.0,3692257.0,20,35017,4031.237692647996,579.1588041301034,61067.57142704981
2020-07-18,231,243967,27569.0,3719826.0,11,35028,4035.0582850389505,579.3407371011012,61523.54507045338
2020-07-19,249,244216,20621.0,3740447.0,14,35042,4039.1765859279017,579.5722881550985,61864.60323363032
2020-07-20,218,244434,14121.0,3754568.0,3,35045,4042.7821666258587,579.6219062380978,62098.15555030853
2020-07-21,190,244624,23915.0,3778483.0,13,35058,4045.9246452158213,579.8369179310953,62493.694368618824
2020-07-22,128,244752,29288.0,3807771.0,15,35073,4048.041683423796,580.0850083460923,62978.09917358106
2020-07-23,280,245032,33018.0,3840789.0,9,35082,4052.672704503741,580.2338625950906,63524.195795072555
2020-07-24,306,245338,28970.0,3869759.0,10,35092,4057.7337489696806,580.3992562050886,64003.341083236846
2020-07-25,252,245590,28059.0,3897818.0,5,35097,4061.901667941631,580.4819530100876,64467.41901353032
2020-07-26,274,245864,25177.0,3922995.0,5,35102,4066.433452855577,580.5646498150867,64883.83050542236
2020-07-27,254,246118,19374.0,3942369.0,5,35107,4070.6344505495267,580.6473466200856,65204.26408543255
2020-07-28,168,246286,25341.0,3967710.0,5,35112,4073.413063197494,580.7300434250847,65623.38803252856
2020-07-29,202,246488,30875.0,3998585.0,11,35123,4076.754014119454,580.9119763960825,66134.04080339748
2020-07-30,288,246776,33396.0,4031981.0,6,35129,4081.5173500873975,581.0112125620814,66686.38930334689
2020-07-31,382,247158,29686.0,4061667.0,3,35132,4087.8353859893223,581.0608306450807,67177.37677398705
2020-08-01,379,247537,31905.0,4093572.0,9,35141,4094.1038038082474,581.2096848940789,67705.06508668576
2020-08-02,295,247832,24496.0,4118068.0,5,35146,4098.98291530319,581.292381699078,68110.21327373694
2020-08-03,238,248070,13467.0,4131535.0,8,35154,4102.919283221142,581.4246965870764,68332.94884832129
2020-08-04,159,248229,23491.0,4155026.0,12,35166,4105.549041620111,581.623168919074,68721.47497756766
2020-08-05,190,248419,29739.0,4184765.0,5,35171,4108.691520210074,581.7058657240731,69213.33903434081
2020-08-06,384,248803,32169.0,4216934.0,10,35181,4115.042634833998,581.871259334071,69745.39373834347
2020-08-07,401,249204,30392.0,4247326.0,6,35187,4121.674918594919,581.9704955000699,70248.05799784948
2020-08-08,552,249756,26631.0,4273957.0,3,35190,4130.8046458668105,582.0201135830694,70688.51772063524
2020-08-09,347,250103,22773.0,4296730.0,13,35203,4136.543804133742,582.2351252760667,71065.16858868375
2020-08-10,463,250566,10904.0,4307634.0,2,35205,4144.201528276651,582.2682039980664,71245.51378102561
2020-08-11,259,250825,22063.0,4329697.0,4,35209,4148.4852227756,582.3343614420655,71610.42170276426
2020-08-12,412,251237,27330.0,4357027.0,6,35215,4155.299439507518,582.4335976080644,72062.44243888889
2020-08-13,476,251713,25629.0,4382656.0,10,35225,4163.172175343425,582.5989912180625,72486.32972195283
2020-08-14,522,252235,24868.0,4407524.0,6,35231,4171.805721785322,582.6982273840613,72897.63055129594
2020-08-15,574,252809,25937.0,4433461.0,3,35234,4181.299314999209,582.7478454670606,73326.61195754782
2020-08-16,629,253438,22470.0,4455931.0,158,35392,4191.702573068085,585.3610645050295,73698.2513992134
2020-08-17,477,253915,21379.0,4477310.0,4,35396,4199.591848264991,585.4272219490288,74051.8463980282
2020-08-18,320,254235,32687.0,4509997.0,4,35400,4204.884443784928,585.4933793930279,74592.46849102875
2020-08-19,401,254636,41290.0,4551287.0,5,35405,4211.516727545849,585.576076198027,75275.37870671062
2020-08-20,642,255278,49662.0,4600949.0,7,35412,4222.134997307723,585.6918517250256,76096.75645268284
2020-08-21,840,256118,44943.0,4645892.0,6,35418,4236.028060547557,585.7910878910244,76840.084954097
2020-08-22,947,257065,46613.0,4692505.0,9,35427,4251.690835414371,585.9399421400226,77611.03418838081
2020-08-23,1071,258136,47463.0,4739968.0,3,35430,4269.40449104516,585.9895602230221,78396.04187951447
2020-08-24,1209,259345,33358.0,4773326.0,7,35437,4289.400578493922,586.1053357500207,78947.76188374589
2020-08-25,953,260298,45798.0,4819124.0,4,35441,4305.162589526734,586.1714931940198,79705.23153881487
2020-08-26,876,261174,58054.0,4877178.0,4,35445,4319.651069762562,586.2376506380191,80665.40760229743
2020-08-27,1366,262540,57640.0,4934818.0,13,35458,4342.243836888292,586.4526623310165,81618.73637032608
2020-08-28,1409,263949,65135.0,4999953.0,5,35463,4365.547796537015,586.5353591360156,82696.02764904825
2020-08-29,1460,265409,64294.0,5064247.0,9,35472,4389.695263596727,586.6842133850138,83759.40932516959
2020-08-30,1444,266853,53541.0,5117788.0,1,35473,4413.578100880443,586.7007527460136,84644.94325246004
2020-08-31,1365,268218,42583.0,5160371.0,4,35477,4436.154328645174,586.7669101900128,85349.23886191467
2020-09-01,996,269214,54395.0,5214766.0,6,35483,4452.627532200978,586.8661463560117,86248.89740349895
2020-09-02,975,270189,,,8,35491,4468.753409175786,586.9984612440101,
2020-09-03,1326,271515,,,6,35497,4490.684601861525,587.0976974100089,
